annual_income,tot_outstanding_debt,credit_lines_count,delinquency_30d_freq,industry_sector,customer_tenure_months,support_tickets_count,marketing_email_opens,branch_code,account_manager_id,default_flag
18770.723599074365,23391.56500045399,6,1,Retail,19,4,22,BR004,AM004,1
120404.85723670085,20241.672599600224,2,0,Healthcare,2,2,10,BR005,AM031,0
52669.82774181797,9688.577676878353,4,1,Finance,16,1,5,BR018,AM015,0
36517.70215103813,46731.22236542987,7,2,Construction,27,0,9,BR008,AM001,1
10000.0,32372.772532409184,6,2,Construction,5,2,4,BR006,AM008,1
10000.0,100384.32821705147,9,2,Retail,2,1,16,BR011,AM047,1
10000.0,1631.8200545416794,7,2,Retail,47,1,12,BR012,AM006,1
80449.23457919758,51622.681345809804,1,2,Finance,2,3,2,BR018,AM027,0
36763.286145090584,71973.97293122885,6,0,Healthcare,58,1,3,BR003,AM026,1
49250.002468183615,71248.96728123755,3,2,Retail,7,1,0,BR013,AM002,1
10000.0,108610.29376714499,8,2,Retail,9,1,15,BR001,AM013,1
140142.29900633247,65288.048907034514,1,2,Retail,17,3,0,BR003,AM030,0
71457.181734187,131422.73003979595,2,2,Construction,5,1,8,BR007,AM007,1
10000.0,20222.526135269087,3,2,Tech,27,2,18,BR017,AM034,1
10000.0,34979.33516782039,3,2,Services,17,3,33,BR018,AM033,1
10000.0,1000.0,7,1,Finance,70,4,3,BR016,AM027,0
14510.149178419086,1000.0,8,2,Construction,58,3,2,BR007,AM023,0
29757.11323443418,13730.173271966043,9,1,Finance,35,1,43,BR016,AM040,1
22621.482671213467,5312.890190527877,7,0,Manufacturing,4,3,2,BR008,AM016,1
13768.91970215766,15069.53829651113,8,1,Healthcare,5,1,1,BR012,AM043,0
37854.834955991944,9742.58427170584,6,1,Finance,7,0,25,BR013,AM023,0
,1446.731133297989,2,0,Construction,43,2,27,BR005,AM025,0
13820.620480096091,120012.18192592442,1,1,Healthcare,25,2,6,BR013,AM007,1
18251.08872883388,1000.0,3,2,Construction,4,0,10,BR006,AM039,0
24357.387514391,66605.86885229425,9,1,Finance,14,1,5,BR002,AM002,1
61517.440441236475,8252.452667553098,7,2,Tech,88,1,26,BR015,AM025,1
10000.0,121651.56078360531,2,0,Healthcare,31,2,18,BR017,AM045,1
28881.166201325108,111651.05770513644,1,1,Finance,65,1,7,BR009,AM036,1
35900.18885239042,53051.542029748634,2,1,Retail,39,3,5,BR019,AM014,1
10000.0,55772.78984343899,3,2,Healthcare,30,0,11,BR011,AM041,1
37413.3208259844,1000.0,6,3,Finance,42,0,10,BR001,AM018,0
10000.0,209558.96335110365,9,0,Manufacturing,28,5,0,BR006,AM004,1
10000.0,105118.15364414181,8,1,Tech,20,3,3,BR018,AM014,1
118947.51174027723,112740.35572658501,9,0,Services,31,2,5,BR005,AM031,0
134825.2136984469,53829.50882007854,8,3,Finance,6,5,8,BR014,AM022,1
66093.26291251507,21139.73982406577,7,2,Manufacturing,16,5,2,BR003,AM007,0
14531.51439875033,112050.35174646576,6,0,Manufacturing,72,1,3,BR003,AM022,1
